db_id,conv_name,description,targets
DB07931,Hexestrol,A synthetic estrogen that has been used as a hormonal antineoplastic agent.,"[['O75469'], ['P03372'], ['Q04828'], ['Q14994']]"
DB07933,Erteberel,Erteberel is an estrogen receptor beta agonist that  has been used in trials studying the treatment of Benign Prostatic Hyperplasia.,"[['P03372'], ['Q92731']]"
DB07941,PH-797804,PH-797804 has been investigated for the treatment of Osteoarthritis.,[['Q16539']]
DB08044,ABT-341,ABT-341 is a potent and selective DPP-4 inhibitor with a structure very similar to sitagliptin (in 2D; the 3D structure is significantly different). [A39406],[['P27487']]
DB08059,Wortmannin,"Wortmannin is a steroid metabolite of _Penicillium funiculosum_ and _Talaromyces wortmannii_ fungi. This drug acts as a nonspecific, covalent inhibitor of phosphoinositide 3-kinase enzymes (PI3Ks).","[['P27986'], ['P42336'], ['P48736'], ['P53350']]"
DB08079,AMG-208,"AMG-208 has been used in trials studying the treatment of Cancer, Tumors, Oncology, Prostate Cancer, and Oncology Patients, among others.","[['P08581', 'Q9NWH9']]"
DB08089,LGD-2226,An androgen receptor modulator.,[['P10275']]
DB08092,3-fluoro-N-1H-indol-5-yl-5-morpholin-4-ylbenzamide,3-fluoro-N-1H-indol-5-yl-5-morpholin-4-ylbenzamide is a solid. This compound belongs to the phenylmorpholines. These are aromatic compounds containing a morpholine ring and a benzene ring linked to each other through a CC or a CN bond. This drug targets mitogen-activated protein kinase 14.,[['Q16539']]
DB08098,"{[5-(5-nitro-2-furyl)-1,3,4-oxadiazol-2-yl]thio}acetic acid",This compound belongs to the nitrofurans. These are compounds containing a furan ring which bears a nitro group. It targets the protein aldose reductase.,[['P15121']]
DB08099,"6-ethyl-5-[(2S)-1-(3-methoxypropyl)-2-phenyl-1,2,3,4-tetrahydroquinolin-7-yl]pyrimidine-2,4-diamine","6-ethyl-5-[(2s)-1-(3-methoxypropyl)-2-phenyl-1,2,3,4-tetrahydroquinolin-7-yl]pyrimidine-2,4-diamine is a solid. This compound belongs to the phenylquinolines. These are heterocyclic compounds containing a quinoline moiety substituted with a phenyl group. This substance targets the protein renin.","[['P00797', 'Q693B1']]"
DB08142,AT-7519,AT7519 is a selective inhibitor of certain Cyclin Dependent Kinases (CDKs) leading to tumour regression. It is developed by Astex for the treatment of solid tumours and haematological malignancies.,"[['P06493'], ['P24941']]"
DB08162,Fasudil,Fasudil has been investigated in Carotid Stenosis.,"[['O75116'], ['P17252', 'P17612'], ['P61925'], ['Q13464']]"
DB08262,"2,6-dicarboxynaphthalene","2,6-dicarboxynaphthalene is a solid. This compound belongs to the naphthalenecarboxylic acids. These are compounds containing a napthalene moiety with a ring carbon which bears a carboxylic acid group. This drug targets the proteins hemoglobin subunit alpha and hemoglobin subunit beta.","[['P68871'], []]"
DB08263,N-(carboxycarbonyl)-D-phenylalanine,N-(carboxycarbonyl)-D-phenylalanine is a solid. This compound belongs to the n-acyl-alpha amino acids. These are compounds containing an alpha amino acid which bears an acyl group at its terminal nitrogen atom. It targets the protein hypoxia-inducible factor 1-alpha inhibitor.,[['Q9NWT6']]
DB08382,Gosogliptin,"Gosogliptin has been used in trials studying the treatment of Renal Insufficiency, Chronic.",[['P27487']]
DB08398,"2-Amino-1-methyl-6-phenylimidazo(4,5-b)pyridine","PhIP (2-Amino-1-methyl-6-phenylimidazo(4,5-b)pyridine) has been used in trials studying the basic science of Pancreas Cancer.","[['P03372'], ['Q15596']]"
DB08437,Puromycin,"Puromycin is an antibiotic that prevents bacterial protein translation. It is utilized as a selective agent in laboratory cell cultures. Puromycin is toxic to both prokaryotic and eukaryotic cells, resulting in significant cell death at appropriate doses.","[['P39023'], ['P40429'], ['P61313'], ['P61927'], ['P62750'], ['P62829'], ['P62913'], ['P62917'], ['P84098'], ['Q96L21'], ['Q9UHA3'], ['Q9UNX3']]"
DB08439,Parecoxib,"Parecoxib is a water-soluble and injectable prodrug of valdecoxib. It is marketed as Dynastat in the European Union. Parecoxib is a COX2 selective inhibitor in the same category as celecoxib (Celebrex) and rofecoxib (Vioxx). As it is injectable, it can be used perioperatively when patients are unable to take oral medications. It is approved through much of Europe for short term perioperative pain control much in the same way ketorolac (Toradol) is used in the United States. A letter of non-approval for parecoxib was issued by the FDA in 2005.","[['P02788'], ['P08684'], ['P11712'], ['P35354']]"
DB08490,CTS-1027,CTS-1027 has been used in trials studying the treatment of Hepatitis C and Chronic Hepatitis C Virus Infection.,[['P45452']]
DB08496,(R)-warfarin,Warfarin consists of a racemic mixture of two active enantiomers—R- and S- forms—each of which is cleared by different pathways. S-warfarin is 2-5 times more potent than the R-isomer in producing an anticoagulant response.[A1038],"[['P02768', 'Q8TES7'], ['P04798'], ['P05177'], ['P08684'], ['P10632'], ['P11712'], ['P33260'], ['P33261']]"
DB08550,"7,8-Dichloro-1,2,3,4-tetrahydroisoquinoline",Potent reversible inhibitor of phenylethanolamine N-methyltransferase.,"[['P11086', 'Q9UBM1']]"
DB08553,"(1E)-5-(1-piperidin-4-yl-3-pyridin-4-yl-1H-pyrazol-4-yl)-2,3-dihydro-1H-inden-1-one oxime","(1E)-5-(1-piperidin-4-yl-3-pyridin-4-yl-1h-pyrazol-4-yl)-2,3-dihydro-1h-inden-1-one oxime is a solid. This compound belongs to the phenylpyrazoles. These are compounds containing a phenylpyrazole skeleton, which consists of a pyrazole bound to a phenyl group. It targets the protein serine/threonine-protein kinase B-raf.",[['P15056']]
DB08555,"1-(3-bromophenyl)-7-chloro-6-methoxy-3,4-dihydroisoquinoline","1-(3-bromophenyl)-7-chloro-6-methoxy-3,4-dihydroisoquinoline is a solid. This compound belongs to the isoquinolines and derivatives. These are aromatic polycyclic compounds containing an isoquinoline moiety, which consists of a benzene ring fused to a pyridine ring and forming benzo[c]pyridine. This medication is known to target mitogen-activated protein kinase 10.",[['P53779']]
DB08604,Triclosan,"An aromatic ether that is phenol which is substituted at C-5 by a chloro group and at C-2 by a 2,4-dichlorophenoxy group. It is widely used as a preservative and antimicrobial agent in personal care products such as soaps, skin creams, toothpaste and deodorants as well as in household items such as plastic chopping boards, sports equipment and shoes.","[['O75469'], ['P07202'], ['P10275'], ['P37231'], ['Q14994']]"
DB08626,Thiorphan,A potent inhibitor of membrane metalloendopeptidase (enkephalinase). Thiorphan potentiates morphine-induced analgesia and attenuates naloxone-precipitated withdrawal symptoms.,[['P08473']]
DB08633,TNP-470,"O-(chloroacetylcarbamoyl)fumagillol (TNP-470) has been used in trials studying the treatment of HIV Infections, Sarcoma, Kaposi, and Pancreatic Neoplasms.",[['P50579']]
DB08687,FG-2216,A orally active prolyl-hydroxylase inhibitor which can stabilize hypoxia-inducible transcription factor independent of oxygen availability. [A14422],"[['Q16665'], ['Q9GZT9']]"
DB08794,Ethyl biscoumacetate,"Ethyl biscoumacetate is a courmarin that is used as an anticoagulant. It has actions similar to those of Warfarin. (From Martindale, The Extra Pharmacopoeia, 30th ed, p226)","[['P08684'], ['P15104']]"
DB08795,Azidocillin,Azidocillin is a penicillin antibiotic similir to ampicillin.,"[['O76082'], ['P46059'], ['Q16348']]"
DB08798,Sulfamoxole,Sulfamoxole is an antibacterial in the sulfonamide class.,[['P11712']]
DB08799,Antazoline,Antazoline is a 1st generation antihistamine with anticholinergic activity. It is used to relieve nasal congestion. It is also formulated as eye drops with naphazoline to relieve allergic conjunctivitis.,[['P35367']]
DB08800,Chloropyramine,"Chlorpyramine is a first generation antihistamine used in Eastern European countries to treat bronchial asthma as well as allergice rhinitis, allergic conjunctivitis, and other allergic reactions. It is also indicated for Quincke's edema, allergic reactions to insect bites, food and drug allergies, and anaphylactic shock.",[['P35367']]
DB08801,Dimetindene,Dimetindene (Fenistil) is an antihistamine/anticholinergic used orally and locally as an antipruritic.,"[['P08172'], ['P35367']]"
DB08802,Isothipendyl,Isothipendyl is an antihistamine and anticholinergic used as an antipruritic.,[['P35367']]
DB08804,Nandrolone decanoate,"Nandrolone decanoate, also known as nandrolone caprinate, is an alkylated anabolic steroid indicated in the management of anemia of renal insufficiency and as an adjunct therapy in the treatment of senile and postmenopausal osteoporosis.[A233789,A233849,L32564,L9464] The process for creating esters of [nandrolone] was patented in Spain in 1959[L33244] and in 1960, it was described as having a long duration of action and strong anabolic effect compared to nandrolone and other esters.[A233849]Nandrolone decanoate was granted FDA approval on 5 October 1962.[L32564]","[['P01100'], ['P04278'], ['P06133'], ['P08069'], ['P10275'], ['P11511'], ['P14416'], ['P16662'], ['P21397'], ['P21728'], ['P21917'], ['P21918'], ['P22309'], ['P22310'], ['P27338'], ['P28222'], ['P28223'], ['P28335'], ['P35462'], ['P35503'], ['P41595'], ['Q9HAW8']]"
DB08805,Metiamide,Metiamide is an H-2 receptor antagonist derived from burimamide. It was an intermediate product on the path to developing cimetidine.,[['P25021']]
DB08806,Roxatidine acetate,Roxatidine acetate is a specific and competitive H2 receptor antagonist. It is currently approved in South Africa under the tradename Roxit.,[['P25021']]
DB08807,Bopindolol,Bopindolol (INN) is an ester prodrug for the beta blocker [pindolol].,"[['P07550'], ['P08588'], ['P08908'], ['P10635'], ['P13945'], ['P28222']]"
DB08808,Bupranolol,"Bupranolol is a non-selective beta blocker with potency similar to [propanolol]. It does not have intrinsic sympathomimetic activity (ISA), but does have strong membrane stabilizing activity.","[['P07550'], ['P08588'], ['P10635'], ['P13945']]"
DB08809,Dichloroacetic acid,"Dichloroacetic acid, often abbreviated DCA, is an acid analogue of acetic acid in which two of the three hydrogen atoms of the methyl group have been replaced by chlorine atoms. Salts of DCA are used as drugs since they inhibit the enzyme pyruvate dehydrogenase kinase. Early reports of its activity against brain cancer cells led patients to treat themselves with DCA, which is commercially available in non-pharmaceutical grade. A phase 1 study in 5 patients concluded that DCA was safe, but wasn't designed to establish effectiveness.DCA was approved for use in Canada in 1989 (as a topical formulation for treatment of warts and for cauterization and removal of a wide variety of skin and tissue lesions), but was cancelled post market.","[['O43708'], ['O15530', 'Q15118']]"
DB08810,Cinitapride,Cinitapride is a gastroprokinetic agent and antiulcer benzamide with agonist activity at 5-HT1 and 5-HT4 receptors and antagonist activity at 5-HT2 receptors. It is marketed in Spain and Mexico.,"[['P08908'], ['P28223'], ['Q13639']]"
DB08811,Tofisopam,"Tofisopam (marketed under brand names Emandaxin and Grandaxin) is a 2,3-benzodiazepine drug which is a benzodiazepine derivative. In contrast to classical 1,4-benzodiazepines, the compound does not bind to the benzodiazepine binding site of the gamma-aminobutyric acid receptor and its psychopharmacological profile differs from such compounds. Although Tofisopam is not approved for sale in North America, it is approved for use in various countries worldwide, including parts of Europe. The D-enantiomer ([dextofisopam]) is currently in phase II trials in the U.S. for the treatment of irritable bowel syndrome.","[['O00408'], ['P08684'], ['P27815'], ['Q14432'], ['Q9Y233']]"
DB08813,Nadroparin,"Nadroparin is a low molecular weight heparin (LMWH) which, when bound to antithrombin III (ATIII), accelerates the inactivation of factor II and factor Xa. Nadroparin halts the coagulation pathway by inhibiting the activation of thrombin (factor IIa) by factor Xa. The amplification of the fibrin clotting cascade is stopped once factors Xa and IIa are inactivated. It is derived from porcine sources and has a mean molecular size of 5000 daltons. Low molecular weight heparins are less effective at inactivating factor IIa due to their shorter length compared to unfractionated heparin.","[['P01008'], ['P01100'], ['P01106'], ['P16109', 'P49908']]"
DB08814,Triflusal,"Triflusal is a 2-acetoxy-4-trifluoromethylbenzoic acid and it is an aspirin chemically-related molecule but not a derivative. The benefits of this agent are the lack of action over the arachidonic acid pathway, the driven production of nitric oxide and the increase of cyclic nucleotide concentration on endothelial cells. The latest translates into the expansion of peripheral blood vessels.[A31675] It is very important as a secondary prevention of ischemic stroke by offering a lower risk of bleeding.[A31676] It was developed by  J. Uriach and Company and even though it is commercialized in different countries it is not approved by the FDA, EMA or HealthCanada.","[['P02768', 'Q8TES7'], ['P19838'], ['P23219'], ['P35228', 'P60321'], ['Q9Y233']]"
DB08815,Lurasidone,"Lurasidone is an atypical antipsychotic developed by Dainippon Sumitomo Pharma. It was approved by the U.S. Food and Drug Administration (FDA) for treatment of schizophrenia on October 29, 2010 and is currently pending approval for the treatment of bipolar disorder in the United States.","[['P08684'], ['P08908'], ['P08913'], ['P14416'], ['P18825'], ['P28223'], ['P34969']]"
DB08816,Ticagrelor,"Ticagrelor, or AZD6140, was first described in the literature in 2003.[A204170,A2903] Ticagrelor is an ADP derivative developed for its P2Y<sub>12</sub> receptor antagonism.[A2903] Unlike [clopidogrel], ticagrelor is not a prodrug.[A2903] It is marketed by Astra Zeneca as Brilinta in the US[L14201] and Brilique or Possia in the EU,[L14207].Ticagrelor was granted EMA approval on 3 December 2010.[L14207]Ticagrelor was granted FDA approval on 20 July 2011.[L14201]","[['P02768', 'Q8TES7'], ['P08183'], ['P08684'], ['P11712'], ['P20813'], ['P20815'], ['Q9H244']]"
DB08818,Hyaluronic acid,"Hyaluronic acid (HA) is an anionic, nonsulfated glycosaminoglycan found in connective, epithelial, and neural tissues; it was first isolated in 1934. Karl Meyer and John Palmer obtained glycosaminoglycan (GAG) from the bovine eye, giving it the name “hyaluronic acid”. HA is involved in many important physiological processes, including but not limited to wound healing, tissue regeneration, and joint lubrication. It demonstrates unique viscoelasticity, moisturizing, anti-inflammatory qualities, and other important properties that prove beneficial in various clinical applications.[A230128]  HA is used in drug delivery systems for the treatment of cancer, ophthalmological conditions, joint conditions, and aesthetic imperfections.[A230133] Several preparations of hyaluronic acid have been approved by the FDA and are available in oral, topical, and injectable forms. A popular use of hyaluronic acid in recent years is cosmetic injection due to its ability to minimize the appearance of wrinkles and aging-related skin imperfections.[L32193]","[['O14594'], ['O15440'], ['O43820', 'P38567'], ['O75330'], ['P05362'], ['P13611'], ['P16070'], ['P38567'], ['P98066'], ['Q07021'], ['Q12794'], ['Q12891'], ['Q14520'], ['Q2M3T9'], ['Q5JVS0'], ['Q6UX15'], ['Q8WWQ8'], ['Q9BZV3'], ['Q9UHN6'], ['Q9Y5Y7'], ['P10915'], ['Q96S86']]"
DB08819,Tafluprost,"A prostaglandin analogue ester prodrug used topically (as eye drops) to control the progression of glaucoma and in the management of ocular hypertension. Chemically, tafluprost is a fluorinated analog of prostaglandin F2-alpha. Tafluprost was approved for use in the U.S. on February 10, 2012.","[['P35354'], ['P43088']]"
DB08820,Ivacaftor,"Ivacaftor (also known as Kalydeco or VX-770) is a drug used for the management of Cystic Fibrosis (CF). It is manufactured and distributed by Vertex Pharmaceuticals. It was approved by the Food and Drug Administration on January 31, 2012[L768], and by Health Canada in late 2012.[L6841]  Ivacaftor is administered as a monotherapy and also administered in combination with other drugs for the management of CF.[L6814,L6979,L6847]Cystic Fibrosis is an autosomal recessive disorder caused by one of several different mutations in the gene for the Cystic Fibrosis Transmembrane Conductance Regulator (CFTR) protein, an ion channel involved in the transport of chloride and sodium ions across cell membranes. CFTR is active in epithelial cells of organs such as of the lungs, pancreas, liver, digestive system, and reproductive tract. Alterations in the CFTR gene result in altered production, misfolding, or function of the protein and consequently abnormal fluid and ion transport across cell membranes.[A20298, A20299] As a result, CF patients produce thick, sticky mucus that clogs the ducts of organs where it is produced making patients more susceptible to complications such as infections, lung damage, pancreatic insufficiency, and malnutrition.[A20302]Prior to the development of ivacaftor, management of CF primarily involved therapies for the control of infections, nutritional support, clearance of mucus, and management of symptoms rather than improvements in the underlying disease process or lung function (FEV1). Notably, ivacaftor was the first medication approved for the management of the underlying causes of CF (abnormalities in CFTR protein function) rather than control of symptoms.[A20297]","[['P02763'], ['P02768', 'Q8TES7'], ['P08183'], ['P08684'], ['P13569'], ['P20815']]"
DB08822,Azilsartan medoxomil,"Azilsartan medoxomil is a prodrug that is broken down to azilsartan, which belongs in the angiotensin-receptor blocking (ARB) drug class. It is a selective AT1 subtype angiotensin II receptor antagonist. Azilsartan medoxomil is a relatively recently-developed antihypertensive drug that was first approved by the FDA in February 2011.[A7354] Many guidelines recommend the use of ARBs as first-line therapy when initiating antihypertensive therapy and indicate that the clinical efficacy of ARBs is comparable to angiotensin-converting enzyme (ACE) inhibitors that are also used as first-line treatment for hypertension.[A232863]Azilsartan medoxomil is marketed under the brand name Edarbi. It is used to treat hypertension as monotherapy or in combination with other antihypertensive drugs. It is also available in a combination product with [chlorthalidone]. As hypertension is a major risk factor for cardiovascular disease,[A7354] early management of hypertension has several implications on patients' survival rate and quality of life in the future. Lowering blood pressure is associated with a reduced risk of fatal and nonfatal cardiovascular events, primarily strokes and myocardial infarctions.[L32918] Azilsartan medoxomil is thus speculated to lower mortality rates and the onset of cardiovascular disease. Although there is no clinical significance yet determined, azilsartan medoxomil may have potential off-label uses in patients with a history of myocardial infarction or heart failure.[A232863]","[['P02768', 'Q8TES7'], ['P08183'], ['P10632'], ['P11712'], ['P20813'], ['P30556']]"
DB08824,Ioflupane I-123,Ioflupane (I-123) is a radiopharmaceutical used to image dopamine neurons and diagnose Parkinsonian syndromes.,[['Q01959']]
DB08826,Deferiprone,"Deferiprone is an oral iron chelator used as a second line agent in thalassemia syndromes when iron overload from blood transfusions occurs. Thalassemias are a type of hereditary anaemia due a defect in the production of hemoglobin. As a result, erythropoiesis, the production of new red blood cells, is impaired. FDA approved on October 14, 2011.",[['P19224']]
DB08827,Lomitapide,Lomitapide is a microsomal triglyceride transfer protein (MTP) inhibitor used in homozygous familial hypercholesterolemia (HoFH) patients. It is marketed under the name Juxtapid (R).,"[['P08183'], ['P08684'], ['P55157']]"
DB08828,Vismodegib,"Vismodegib is an orally active small molecule that inhibits the hedgehog signaling pathway by binding to and inhibiting the transmembrane protein smoothened homologue (SMO).[A258613,A258618,L45803] It was discovered by high-throughput screening of a library of small-molecule compounds and subsequent optimization through medicinal chemistry.[A7369] Since it targets the hedgehog signaling pathway, vismodegib has anti-tumor activity in basal-cell carcinoma. The Hedgehog signaling pathway plays an important role in the development of organs and tissues during embryogenesis. Afterwards, it is silenced in all cells and tissues, except for hair, skin and stem cells. However, dysregulated or aberrant Hedgehog signaling has been associated with basal cell carcinoma pathogenesis.[A258608,L45803] In January 2012, vismodegib was approved by the FDA for the treatment of adult basal cell carcinoma. In July 2013, it was approved by the EMA, and since then, it has been approved by several other countries.[A7370,A258618,L45803]","[['P02763'], ['P02768', 'Q8TES7'], ['P08183'], ['P08684'], ['P10632'], ['P11712'], ['P33261'], ['Q99835', 'Q9NWM0'], ['Q9UNQ0']]"
DB08830,Dehydroascorbic acid,"Dehydroascorbic acid is made from the oxidation of ascorbic acid. This reaction is reversible, but dehydroascorbic acid can instead undergo irreversible hydrolysis to 2,3-diketogulonic acid. Dehydroascorbic acid as well as ascorbic acid are both termed Vitamin C, but the latter is the main form found in humans. In the body, both dehydroascorbic acid and ascorbic acid have similar biological activity as antivirals but dehydroascorbic acid also has neuroprotective effects. Currently dehydroascorbic acid is an experimental drug with no known approved indications.",[['P11166']]
DB08831,2-deoxyglucose,"2-deoxyglucose is predominantly used as a diagnostic agent in its radiolabelled form (fluorine-18 is used as the radiolabel). By using positron emission tomography (PET), radiolabelled 2-deoxyglucose can determine glucose metabolism, which is altered in diseases such as cardiovascular disease, tumors, and Alzheimer's disease. Therapeutically, 2-deoxyglucose is an investigational drug that is being studied as an anticancer and antiviral agent. Concerning the former, 2- deoxyglucose was used as an adjunct to chemotherapy and radiotherapy in the treatment of solid tumors (lung, breast, pancreas, head, neck, and gastric tumors). The exact mechanisms of action of 2-deoxyglucose is still being investigated, but it is known that in hypoxic cancer cells, 2-deoxyglucose is a glycolysis inhibitor that prevents ATP production and, ultimately, cell survival. With respect to antiviral therapy, 2-deoxyglucose was shown to be effective against herpes simplex virus by affecting the virus' ability to penetrate cells. As an experimental drug, 2-deoxyglucose was demonstrated to work as an anticonvulsant in temporal lobe epilepsy. In this condition, 2-deoxyglucose represses the expression of certain proteins that are at high levels after a seizure. Although there are several possible therapeutic indications for 2-deoxyglucose, presently there is no approved indication for 2-deoxyglucose as a therapeutic agent.",[['P11166']]
DB08833,Taurochenodeoxycholic acid,"Taurochenodeoxycholic acid is an experimental drug that is normally produced in the liver. Its physiologic function is to emulsify lipids such as cholesterol in the bile. As a medication, taurochenodeoxycholic acid reduces cholesterol formation in the liver, and is likely used as a choleretic to increase the volume of bile secretion from the liver and as a cholagogue to increase bile discharge into the duodenum. It is also being investigated for its role in inflammation and cancer therapy.","[['P08684'], ['P46721'], ['Q9UPY5']]"
DB08834,Tauroursodeoxycholic acid,"Tauroursodeoxycholic acid, also known as ursodoxicoltaurine, is a highly hydrophilic tertiary bile acid [A249070] that is produced in humans at a low concentration.[A249070] It is a taurine conjugate of [ursodeoxycholic acid] [A249065] with comparable therapeutic efficacy and safety,[A249070] but a much higher hydrophilicity.[A249060] Normally, hydrophilic bile acids regulates hydrophobic bile acids and their cytotoxic effects. Tauroursodeoxycholic acid can reduce the absorption of cholesterol in the small intestine, thereby reducing the body's intake of dietary cholesterol and the body cholesterol content.[A249080]Tauroursodeoxycholic acid is currently used in Europe to treat and prevent gallstones as a bile acid derivative.[L17040] Due to a range of its molecular properties - namely its anti-apoptotic effects - tauroursodeoxycholic acid has been examined in inflammatory metabolic diseases and neurodegenerative diseases.[A249065,A249070]","[['P46721'], ['Q9UPY5']]"
DB08836,Temocapril,"Temocapril is a prodrug-type angiotensin-I converting enzyme (ACE) inhibitor not approved for use in the United States, but is approved in Japan and South Korea. Temocapril can also be used in hemodialysis patients without risk of serious accumulation.","[['P12821'], ['P46059'], ['P46721']]"
DB08837,Tetraethylammonium,"Tetraethylammonium is an experimental drug with no approved indication or marketed formulation. The only marketed drug containing tetraethylammonium was a combination drug called Fosglutamina B6, but this drug has now been discontinued. As an experimental agent, tetraethylammonium is used in its salt forms such as tetraethylammonium chloride and tetraethylammonium bromide. Its mechanism of action is still being investigated, but it is known that tetraethylammonium blocks autonomic ganglia, calcium- and voltage- activated potassium channels, and nicotinic acetylcholine receptors. Because of its inhibitory actions at the autonomic ganglia, tetraethylammonium was thought to be a potential therapeutic vasodilator but serious toxic effects were found. The most common use of tetraethylammonium presently is as a pharmacological research agent that blocks selective potassium channels. Structurally, tetraethylammonium is positively charged due to its central quaternary ammonium.","[['O15244'], ['O15245'], ['O75751'], ['O76082'], ['Q09470'], ['Q8TCC7'], ['Q96FL8'], ['Q9H015'], ['Q9UGM1']]"
DB08838,Agmatine,"Agmantine is a natural metabolite of the amino acid arginine. It is formed when arginine is decarboxylated by the enzyme arginine decarboxylase and is found naturally in ragweed pollen, ergot fungi, octopus muscle, herring sperm, sponges, and the mammalian brain. Agmatine is both an experimental and investigational drug. As an investigational drug, it is being studied in a non-blinded prospective case study in the United States looking at patients who have been diagnosed with small fiber peripheral neuropathy between the ages of 18 to 75 years. Up to now (July 2013), the results of this study have not yet been published. As an experimental drug, agmatine is being studied for several indications such as cardioprotection, diabetes, decreased kidney function, neuroprotection (stroke, severe CNS injuries, epilepsy, glaucoma, and neuropathic pain), and psychiatric conditions (depression, anxiety, schizophrenia, and cognition). The exact mechanism of action is still being investigated for all of the potential indications of agmatine.","[['O15244'], ['O15245'], ['O75751'], ['P02708'], ['P08684'], ['P18825'], ['P48048'], ['Q00975'], ['Q05586'], ['Q9UHC3'], ['Q9UM01'], ['Q9Y2I1']]"
DB08839,Serotonin,"For temporary relief of nervousness, anxiety, mood swings, joint pains, weakness, drowsiness, itching and lethargy. Not evaluated by the FDA, homeopathic product.","[['O15244'], ['O95264'], ['P28223'], ['P31645'], ['P46098'], ['Q05940']]"
DB08840,N-methylnicotinamide,"N-methylnicotinamide is an experimental drug with no approved indication or marketed formulation. It is a metabolite of niacinamide/nicotinamide and niacin/nicotinic acid (vitamin B3), and as such N-methylnicotinamide is used to diagnose niacin deficiency by measuring N-methylnicotinamide in the urine.","[['O15244'], ['Q06278'], ['Q86VL8'], ['Q96FL8']]"
DB08841,Tyramine,"Tyramine (4-hydroxyphenethylamine; para-tyramine, mydrial or uteramin) is a naturally occurring monoamine compound and trace amine derived from the amino acid tyrosine. Tyramine acts by inducing the release of catecholamine. An important characteristic of this product is its impediment to cross the blood-brain barrier which restrains its side effects to only nonpsychoactive peripheral sympathomimetic effects. There have been reports of hypertensive crisis in patients ingesting tyramine-rich diet in conjunction with monoamine oxidase inhibitors (MAOIs).",[['O75751']]
DB08842,Acetylcarnitine,"Acetylcarnitine is an investigational drug in the United states, Italy, United Kingdom, China, Israel, and Norway, and it is approved in Italy, Portugal, Argentina, Chile, Philippines, Australia, and India. Acetylcarnitine can be synthesized, but it is also naturally found in adequate amounts in healthy humans. In human plasma and tissues, acetylcarnitine is the most predominant acylated ester of carnitine, which is an amino acid derivative that is made in the kidney, liver, and brain from lysine and methionine. The main role of acetylcarnitine is to help transport fatty acids into the mitochondrial matrix where fatty acid metabolism occurs.",[['O76082']]
DB08844,Uric acid,"Uric acid is the last product of purine metabolism in humans. The formation of uric acid is through the enzyme xanthine oxidase, which oxidizes oxypurines. Normally a small amount of uric acid is present in the body, but when there is an excess amount in the blood, called hyperuricemia, this can lead to gout and formation of kidney stones. As a therapeutic agent, it is known that uric acid is increased in response to oxidative stress, and as such, uric acid acts as an antioxidant. At present (August 2013), there is no approved formulation or indication for uric acid. In one country, Spain, uric acid is an investigational drug in a phase 3 trial studying its effects as an adjunct to alteplase in acute ischemic stroke.","[['Q4U2R8'], ['Q8TCC7'], ['Q9NRM0']]"
DB08846,Ellagic acid,"Ellagic acid is present in several fruits such as cranberries, strawberries, raspberries, and pomegranates. In pomegranates, there are several therapeutic compounds but ellagic acid is the most active and abundant. Ellagic acid is also present in vegetables. Ellagic acid is an investigational drug studied for treatment of Follicular Lymphoma (phase 2 trial), protection from brain injury of intrauterine growth restricted babies (phase 1 and 2 trial), improvement of cardiovascular function in adolescents who are obese (phase 2 trial), and topical treatment of solar lentigines. Ellagic acid's therapeutic action mostly involves antioxidant and anti-proliferative effects.","[['O43570'], ['P00915'], ['P00918'], ['P04798'], ['P05181'], ['P05771'], ['P07451'], ['P17252'], ['P17252', 'P17612'], ['P22748'], ['P23280'], ['P35218'], ['P43166'], ['P43405'], ['P68400'], ['Q14534'], ['Q16790'], ['Q4U2R8'], ['Q9NSA0'], ['Q9ULX7'], ['Q8WTZ4', 'Q9Y2D0']]"
DB08847,Hydroxyproline,"Hydroxyproline is a neutral heterocyclic protein amino acid. It is found in collagen and as such it is common in many gelatin products. Hydroxyproline is mostly used as a diagnostic marker of bone turnover and liver fibrosis. Therapeutically, hydroxyproline is being studied as an an experimental medicine but is approved in France as a combination topical gel product called Cicactive for small, superficial wounds.",[['Q7Z2H8']]
DB08848,Guvacine,Guvacine is a pyridine alkaloid found in the Areca nut (also known as the Betel nut). It is an experimental drug with no approved indication. Experimental studies are still being investigated to determine all of the physiological effects and mechanisms of action of guvacine. Currently it has been determined that guvacine is a specific GABA reuptake inhibitor with no significant affinity at GABA receptors.  ,"[['P30531'], ['P48065'], ['P48066'], ['Q9NSD5']]"
DB08855,Leukotriene C4,"The conjugation product of LEUKOTRIENE A4 and glutathione. It is the major arachidonic acid metabolite in macrophages and human mast cells as well as in antigen-sensitized lung tissue. It stimulates mucus secretion in the lung, and produces contractions of nonvascular and some vascular smooth muscle. (From Dictionary of Prostaglandins and Related Compounds, 1990)","[['P33527'], ['Q9NPD5'], ['Q9NS75'], ['Q9Y271'], ['Q9Y6L6']]"
DB08856,DADLE,"A delta-selective opioid (ANALGESICS, OPIOID). It can cause transient depression of mean arterial blood pressure and heart rate.",[['Q9Y6L6']]
DB08857,Bamet-UD2,Bamet-UD2 is a novel bile acid-platinum derivative.,[['Q9Y6L6']]
